taxon,Bietry_1,Bietry_2,Bietry_3,Kassembie_1,Kassembie_2,total
Acinetobacter SGB165522,0.00199,0.00369,0.02183,0,0,0.02751
Cellulosimicrobium cellulans,0,0,0.02748,0,0,0.02748
Thalassobius vesicularis,0.00331,7.1e-4,0.02333,0,0,0.02735
Stenotrophomonas cyclobalanopsidis,0,0,0,0,0.02689,0.02689
Qipengyuania sp XHP0207,0,0.00222,0.02435,0,0,0.02657
Bacillus sp Marseille Q1617,0,0.02384,0.00202,0,0,0.02586
Jeotgalibacillus malaysiensis,0,0.02276,0.00275,0,0,0.025509999999999998
Acidiluteibacter ferrifornacis,0,0,0.02536,0,0,0.02536
Variovorax sp HW608,0,0,0,0.02535,0,0.02535
Nioella SGB138072,0,0,0.0247,0,0,0.0247
GGB90655 SGB127159,0,0,0,0.02459,0,0.02459
Marivita SGB181916,0,0,0.02453,0,0,0.02453
Qipengyuania vesicularis,0,0.00472,0.01941,0,0,0.02413
Beijerinckiaceae bacterium RH AL8,0,0,0,0,0.02411,0.02411
Pseudorhizobium flavum,0,0.02402,0,0,0,0.02402
Profundicola chukchiensis,0,0,0.02378,0,0,0.02378
GGB91732 SGB134135,0,0,0,0.02354,0,0.02354
Gordonia alkanivorans,0,0.00341,0.01969,0,0,0.0231
Prescottella agglutinans,0,0,0,0.02297,0,0.02297
GGB89942 SGB126742,0,0,0,0.02288,0,0.02288
Altererythrobacter xiamenensis,0,0.01661,0.00575,0,0,0.022359999999999998
Thalassovita litoralis,0.0016,0,0.02073,0,0,0.02233
Paraburkholderia sp Ac 20340,0,0,0,0,0.02219,0.02219
GGB94264 SGB130266,0,0,0,0,0.02204,0.02204
GGB45144 SGB62657,0,0,0.02202,0,0,0.02202
GGB47040 SGB64963,0,0,0.02199,0,0,0.02199
Leucobacter muris,0,0.02188,0,0,0,0.02188
Psychrobacter aquimaris,0,0,0.02153,0,0,0.02153
Salinicola lusitanus,0,0,0.02138,0,0,0.02138
Psychrobacter sp NG25,0.01306,4.7e-4,0.00751,0,0,0.02104
Variovorax paradoxus,0,0,0,0,0.02066,0.02066
Alteriqipengyuania abyssalis,0,0.00985,0.01056,0,0,0.020409999999999998
GGB47034 SGB64954,0,0,0.02013,0,0,0.02013
Mycobacterium conspicuum,0,0,0,0.01959,0,0.01959
Pseudorhodobacter sp E13,0,0,0.01947,0,0,0.01947
Mycobacterium sp PO1,0,0.00566,0.01367,0,0,0.01933
Micrococcus flavus,0,0,0.01926,0,0,0.01926
Stutzerimonas stutzeri,0.01912,0,0,0,0,0.01912
Leucothrix mucor,0,0,0.0189,0,0,0.0189
Defluviimonas SGB90463,9.9e-4,0.00208,0.01567,0,0,0.01874
Neptunomonas concharum,2.6e-4,0,0.01846,0,0,0.01872
Curtobacterium oceanosedimentum,0,0,0,0,0.01869,0.01869
Rhodococcoides fascians,0,0,0.01813,0,0,0.01813
Massilia sp Bi118,0,0,0,0,0.0179,0.0179
Fredinandcohnia onubensis,0,0.01784,0,0,0,0.01784
Luteimonas colneyensis,0,0,0.01767,0,0,0.01767
Oryzihumus SGB130264,0,0,0,0.01751,0,0.01751
Mycolicibacterium poriferae,0,0.00417,0.01326,0,0,0.01743
Winogradskyella epiphytica,0,0.00178,0.01562,0,0,0.0174
Streptacidiphilus jiangxiensis,0,0,0,0,0.01739,0.01739
Sphingomonas SGB90165,0,0,0,0,0.01726,0.01726
Trichococcus shcherbakoviae,0.01717,0,0,0,0,0.01717
Methylophilaceae unclassified SGB91728,0,0,0.01673,0,0,0.01673
Arenibacter palladensis,0,0.01669,0,0,0,0.01669
Methylobacterium sp J 067,0,0,0,0,0.01626,0.01626
GGB33138 SGB86553,0,0,0.01618,0,0,0.01618
Thioclava sp A2,0,0,0.016,0,0,0.016
Halobacillus litoralis,0,0,0.0158,0,0,0.0158
Bacillus tianshenii,0,0.01577,0,0,0,0.01577
Ruegeria intermedia,0.00497,0.00857,0.00195,0,0,0.015489999999999999
GGB44069 SGB61447,0,0,0.01518,0,0,0.01518
Maribacter cobaltidurans,0,0.01509,0,0,0,0.01509
Micrococcus luteus,0,0,0.01482,0,0,0.01482
Flagellimonas olearia,0,0.01473,0,0,0,0.01473
Donghicola tyrosinivorans,0,0.00943,0.00515,0,0,0.01458
Psychrobacter sp ANT WB68,0.0034,0.00552,0.0056,0,0,0.01452
Christiangramia portivictoriae,0,0,0.01446,0,0,0.01446
Microbacterium kunmingense,0,0,0.01437,0,0,0.01437
Timonella senegalensis,0.0143,0,0,0,0,0.0143
Novilysobacter defluvii,0,0,0.01417,0,0,0.01417
Erythrobacteraceae bacterium WH01K,0,0,0.01398,0,0,0.01398
Pseudothioclava arenosa,0.00163,0,0.012,0,0,0.01363
Thioclava sp ES 031,1.9e-4,0.01308,0,0,0,0.013269999999999999
Brevundimonas diminuta,0,0.00332,0.00994,0,0,0.01326
Microbacterium marinum,0,0,0.01326,0,0,0.01326
Corynebacterium variabile,0,0,0.01322,0,0,0.01322
Pseudomonas lactis,0,0,0,0,0.01319,0.01319
Novilysobacter spongiicola,0,0,0.01277,0,0,0.01277
Gelidibacter japonicus,0,0,0.01274,0,0,0.01274
Muriicola marianensis,0.00183,0.01077,7e-5,0,0,0.01267
Moraxella osloensis,0,0,0,0,0.01254,0.01254
Stenotrophomonas acidaminiphila,0,0.01246,0,0,0,0.01246
GGB99166 SGB140305,0,0,0.01233,0,0,0.01233
Serratia marcescens,0,0,0,0,0.01229,0.01229
Lactiplantibacillus plantarum,0,0,0.0122,0,0,0.0122
Synechococcus sp LTW R,0,0,0.01194,0,0,0.01194
GGB136607 SGB176925,0.00487,0.00533,0.00157,0,0,0.01177
Enterobacter cancerogenus,0,0,0,0,0.01167,0.01167
Microbacterium sp RU1D,0,0,0,0,0.01165,0.01165
Pseudoalteromonas tetraodonis,0,0,0.01163,0,0,0.01163
GGB25700 SGB37674,0,0,0.01149,0,0,0.01149
Brevibacterium linens,0,0,0.01139,0,0,0.01139
GGB44766 SGB133340,0,0,0,0.01135,0,0.01135
Psychrobacter sp PP 21,0.00806,0,0.00327,0,0,0.01133
Nocardioides SGB107694,0,0,0.01125,0,0,0.01125
Marixanthomonas sp SCSIO 43207,0,0.00338,0.0078,0,0,0.011179999999999999
Exiguobacterium aurantiacum,0,0,0.01105,0,0,0.01105
Bacillus infantis,0,0.01082,0,0,0,0.01082
Alcanivorax borkumensis,0,0,0.01069,0,0,0.01069
Aerococcus urinaeequi,8.3e-4,0,0.00961,0,0,0.010440000000000001
Streptomyces albidoflavus,0,0,0.0104,0,0,0.0104
Flavobacterium okayamense,0.0032,0,0.00705,0,0,0.01025
GGB14202 SGB36131,0,0,0.0102,0,0,0.0102
Bacillus safensis,0,0.0024,0.00751,0,0,0.00991
Herbaspirillum SGB88640,0,0,0,0,0.00987,0.00987
Brooklawnia propionicigenes,5.3e-4,0,0.00919,0,0,0.00972
Tenacibaculum SGB196020,0.00871,8.2e-4,0,0,0,0.00953
GGB90876 SGB127500,0,0,0,0.00949,0,0.00949
Streptomyces murinus,0,0,0,0,0.00949,0.00949
Lutibacter maritimus,0.00606,0.0033,4e-5,0,0,0.0094
Brachybacterium massiliense,0,0,0.00925,0,0,0.00925
Tessaracoccus flavus,0,0,0.00908,0,0,0.00908
Tsuneonella suprasediminis,0,0.00566,0.00337,0,0,0.00903
Desemzia incerta,0.00895,0,0,0,0,0.00895
