phylum,family,genus,species,SGB,Bietry_1,Bietry_2,Bietry_3,Kassembie_1,Kassembie_2,mean_bietry,mean_kassembie
Planctomycetota,Lacipirellulaceae,GGB138701,GGB138701_SGB185574,SGB185574,5.8e-4,5.3e-4,2.8e-4,0,0,4.6333333333333323e-4,0
Thermodesulfobacteriota,Desulfarculaceae,GGB39200,GGB39200_SGB57355,SGB57355,0,0.00121,0,0,0,4.033333333333333e-4,0
Actinomycetota,FGB31980,GGB60258,GGB60258_SGB82204,SGB82204,0,0,0.00117,0,0,3.9e-4,0
Bacteroidota,Flavobacteriaceae,GGB57431,GGB57431_SGB79004,SGB79004,0,0,0,0,6.5e-4,0,3.25e-4
Bacteroidota,Flavobacteriaceae,Aequorivita,Aequorivita_SGB2713,SGB2713,0,0,0.00093000000000000005,0,0,3.1e-4,0
Methanobacteriota,Methanobacteriaceae,GGB53691,GGB53691_SGB74832,SGB74832,0,0,8.9e-4,0,0,2.9666666666666665e-4,0
Nitrospirota,Nitrospiraceae,GGB75461,GGB75461_SGB170944,SGB170944,8.2e-4,5e-5,0,0,0,2.9e-4,0
Pseudomonadota,Roseobacteraceae,GGB132819,GGB132819_SGB182059,SGB182059,0,0,7.3e-4,0,0,2.4333333333333333e-4,0
Actinomycetota,Micrococcaceae,Kocuria,Kocuria_SGB98773,SGB98773,0,0,5.8e-4,0,0,1.9333333333333333e-4,0
Pseudomonadota,Balneatrichaceae,GGB63480,GGB63480_SGB85789,SGB85789,0,0,5e-4,0,0,1.6666666666666666e-4,0
Pseudomonadota,Erythrobacteraceae,Aurantiacibacter,Aurantiacibacter_SGB38248,SGB38248,0,0,4e-4,0,0,1.3333333333333334e-4,0
Pseudomonadota,FGB41017,GGB43700,GGB43700_SGB177887,SGB177887,0,0,3.6e-4,0,0,1.2e-4,0
Planctomycetota,FGB45719,GGB45720,GGB45720_SGB63440,SGB63440,0,0,3.6e-4,0,0,1.2e-4,0
Bacteroidota,Flavobacteriaceae,GGB68272,GGB68272_SGB92186,SGB92186,0,0,2.9e-4,0,0,9.666666666666667e-5,0
Firmicutes,Clostridia_unclassified,GGB55957,GGB55957_SGB77276,SGB77276,2.7e-4,0,0,0,0,9e-5,0
Pseudomonadota,Rhizobiaceae,GGB16199,GGB16199_SGB24558,SGB24558,1.1e-4,0,0,0,0,3.6666666666666666e-5,0
Actinomycetota,FGB92807,GGB134974,GGB134974_SGB177300,SGB177300,4e-5,0,0,0,0,1.3333333333333335e-5,0
